strain	year	lineage	date	country
S4914_2014	2014	2.2	2014-XX-XX	Moldova
S4919_2014	2014	4.2	2014-XX-XX	Moldova
S492_2014	2014	2.2	2014-XX-XX	Moldova
S4922_2014	2014	2.2	2014-XX-XX	Moldova
S496_2014	2014	4.2	2014-XX-XX	Moldova
S499_2014	2014	4.2	2014-XX-XX	Moldova
S500_2014	2014	2.2	2014-XX-XX	Moldova
S504_2014	2014	4.2	2014-XX-XX	Moldova
S505_2014	2014	2.2	2014-XX-XX	Moldova
S508_2014	2014	2.2	2014-XX-XX	Moldova
S517_2014	2014	2.2	2014-XX-XX	Moldova
S520_2014	2014	2.2	2014-XX-XX	Moldova
S522_2014	2014	4.2	2014-XX-XX	Moldova
S5235_2014	2014	4.2	2014-XX-XX	Moldova
S5237_2014	2014	2.2	2014-XX-XX	Moldova
S5238_2014	2014	4.3	2014-XX-XX	Moldova
S5240_2014	2014	2.2	2014-XX-XX	Moldova
S5244_2014	2014	4.8	2014-XX-XX	Moldova
S5248_2014	2014	2.2	2014-XX-XX	Moldova
S5251_2014	2014	2.2	2014-XX-XX	Moldova
S5255_2014	2014	4.2	2014-XX-XX	Moldova
S5256_2014	2014	4.2	2014-XX-XX	Moldova
S5261_2014	2014	4.2	2014-XX-XX	Moldova
S5264_2014	2014	4.3	2014-XX-XX	Moldova
S5490_2014	2014	4.3	2014-XX-XX	Moldova
S5494_2014	2014	2.2	2014-XX-XX	Moldova
S5503_2014	2014	4.2	2014-XX-XX	Moldova
S5507_2014	2014	4.3	2014-XX-XX	Moldova
S5510_2014	2014	2.2	2014-XX-XX	Moldova
S5885_2014	2014	4.2	2014-XX-XX	Moldova
S5902_2014	2014	4.2	2014-XX-XX	Moldova
S5908_2014	2014	4.2	2014-XX-XX	Moldova
S5921_2014	2014	4.2	2014-XX-XX	Moldova
S6126_2014	2014	2.2	2014-XX-XX	Moldova
S6150_2014	2014	4.2	2014-XX-XX	Moldova
S6158_2014	2014	4.2	2014-XX-XX	Moldova
S6485_2014	2014	2.2	2014-XX-XX	Moldova
S6487_2014	2014	4.8	2014-XX-XX	Moldova
S6494_2014	2014	2.2	2014-XX-XX	Moldova
S6495_2014	2014	4.2	2014-XX-XX	Moldova
S6497_2014	2014	4.2	2014-XX-XX	Moldova
S6501_2014	2014	2.2	2014-XX-XX	Moldova
S6503_2014	2014	4.2	2014-XX-XX	Moldova
S6845_2014	2014	4.1	2014-XX-XX	Moldova
S6847_2014	2014	4.3	2014-XX-XX	Moldova
S7092_2014	2014	4.8	2014-XX-XX	Moldova
S7097_2014	2014	4.2	2014-XX-XX	Moldova
S7316_2014	2014	2.2	2014-XX-XX	Moldova
S7329_2014	2014	2.2	2014-XX-XX	Moldova
S7330_2014	2014	4.2	2014-XX-XX	Moldova
S7341_2014	2014	2.2	2014-XX-XX	Moldova
S7574_2014	2014	4.8	2014-XX-XX	Moldova
S7576_2014	2014	4.8	2014-XX-XX	Moldova
S7600_2014	2014	4.2	2014-XX-XX	Moldova
S7918_2014	2014	2.2	2014-XX-XX	Moldova
S7922_2014	2014	2.2	2014-XX-XX	Moldova
S7945_2014	2014	4.1	2014-XX-XX	Moldova
S7950_2014	2014	4.2	2014-XX-XX	Moldova
S8228_2014	2014	2.2	2014-XX-XX	Moldova
S8233_2014	2014	4.1	2014-XX-XX	Moldova
S8234_2014	2014	4.1	2014-XX-XX	Moldova
S8452_2014	2014	4.1	2014-XX-XX	Moldova
S8455_2014	2014	4.8	2014-XX-XX	Moldova
S8456_2014	2014	4.2	2014-XX-XX	Moldova
S853_2014	2014	4.3	2014-XX-XX	Moldova
S855_2014	2014	2.2	2014-XX-XX	Moldova
S857_2014	2014	4.2	2014-XX-XX	Moldova
S862_2014	2014	4.2	2014-XX-XX	Moldova
S8790_2014	2014	4.2	2014-XX-XX	Moldova
S8835_2014	2014	4.3	2014-XX-XX	Moldova
S8837_2014	2014	2.2	2014-XX-XX	Moldova
S895_2014	2014	4.1	2014-XX-XX	Moldova
S9168_2014	2014	4.2	2014-XX-XX	Moldova
S9170_2014	2014	4.4	2014-XX-XX	Moldova
S9176_2014	2014	4.4	2014-XX-XX	Moldova
S9182_2014	2014	4.4	2014-XX-XX	Moldova
S9185_2014	2014	4.4	2014-XX-XX	Moldova
S9199_2014	2014	4.4	2014-XX-XX	Moldova
S9615_2014	2014	4.4	2014-XX-XX	Moldova
S9620_2014	2014	4.4	2014-XX-XX	Moldova
S9648_2014	2014	4.4	2014-XX-XX	Moldova
S9652_2014	2014	4.4	2014-XX-XX	Moldova
S9668_2014	2014	4.4	2014-XX-XX	Moldova
